SCPS_110.12 4ae9b4f8e5	Rimoko Koron
SCPS_150.04 2e89d49845	Dark Cloud
SLKA_150.07 2e4032995d	Growlanser II - The Sense of Justice
SCPS_150.17 2681dc90e5	PaRappa the Rapper 2
SLKA_150.21 26483a91c5	Growlanser II - The Dual Darkness
SCPS_150.37 2681dc9045	Ratchet & Clank
SCPS_150.56 3e99c48835	Ratchet & Clank 2
SCPS_150.58 3e99c48825	Arc the Lad - Generation
SCPS_150.64 3e99c48875	Ghost in the Shell - Stand Alone Complex
SCPS_150.84 3691cc80dd	Ratchet & Clank 3
SCPS_150.99 3691cc8065	Ratchet & Clank - Giga Battle
SCPS_151.05 4ee9b4f8cd	Tourist Trophy - The Real Riding Simulator
SCPS_151.06 4ee9b4f8d5	Siren 2
SCPS_170.01 8b1eca0d5	Gran Turismo 4
SLUS_200.01 1be11db185	Tekken Tag Tournament
SCKA_200.06 1b68fab0bd	ARGUS NO SENSHI
SCKA_200.11 1b68fab0d5	Ratchet & Clank 2 - Gagaga! Ginga no Commando-ssu
SLPS_200.13 1ba11cb1e5	Primal Image Vol.01
SLUS_200.18 1be11db11d	Onimusha - Warlords
SCKA_200.18 1b68fab01d	The Getaway
SLPS_200.20 1ba11cb12d	FIFA 2000 World Championship
SCKA_200.25 1b68fab045	Katamari Damacy
SCKA_200.27 1b68fab055	KOUKAKU KIDOUTAI - STAND ALONE COMPLEX
SLUS_200.28 1be11db16d	No One Lives Forever
SCKA_200.32 370e2a895	Syphon Filter - The Omega Virus
SLUS_200.35 3f905a98d	Baldur's Gate - Dark Alliance
SLUS_200.37 3f905a9bd	Run Like Hell - Hunt or Be Hunted
SCKA_200.37 370e2a8bd	Ratchet & Clank 2 - Gagaga! Ginga no Commando-ssu [Big Hit Series]
SCKA_200.42 370e2a8c5	Ace Combat 5 - The Unsung War
SCKA_200.60 370e2a875	Ratchet - Deadlocked
SLUS_200.62 3f905a965	Grand Theft Auto III
SLUS_200.64 bf10da19d	Oni
SCKA_200.69 b78eaa0b5	Siren 2
SCKA_200.70 b78eaa0ad	Ace Combat Zero - The Belkan War
SLUS_200.71 bf10da1a5	Dead or Alive 2
SLUS_200.74 bf10da1cd	Summoner
SLPS_200.92 bb10ca17d	Tiger Woods PGA Tour 2001
SLUS_200.94 bf10da16d	X Squad
SLPS_201.06 33893499f5	Growlanser II - The Sense of Justice
SLUS_201.13 33c935992d	Driving Emotion Type S
SLPS_201.31 3b813c91b5	実戦パチスロ必勝法! 獣王 通常版
SLUS_201.36 3bc13d91ed	Barbarian
SLUS_201.41 3bc13d91c5	CART Fury - Championship Racing
SLUS_201.44 3bc13d912d	Metal Gear Solid 2 - Sons of Liberty
SLUS_201.52 3bc13d916d	Ace Combat 4 - Shattered Skies
SLUS_201.64 23d9258995	Project Eden
SLUS_201.74 23d92589c5	Rumble Racing
